product name,product price,product link
"GIGABYTE GeForce RTX 3080 GAMING OC WATERFORCE WB 10G (rev2.0) Graphics Card, WATERFORCE Water Block Cooling System, 10GB 320-bit GDDR6X, GV-N3080GAMINGOC WB-10GD Rev2.0 Video Card (LHR)",1399,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080gamingoc-wb-10gd-rev2-0/p/N82E16814932478?Description=3080&cm_re=3080-_-14-932-478-_-Product
,,
"GIGABYTE AORUS GeForce RTX 3080 Ti Master 12G Graphics Card, Max Covered Cooling, 12GB 384-bit",3188,https://www.newegg.ca/p/1FT-000A-003J5?Description=3080&cm_re=3080-_-9SIB42GHCD1962-_-Product
,,
GAINWARD Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 Video Card RTX 3080 Ti Gaming X Trio 12G,1421,https://www.newegg.ca/gainward-ga102-225/p/1FT-00FZ-00003?Description=3080&cm_re=3080-_-9SIB86YH6Z8122-_-Product
,,
"GIGABYTE GeForce RTX 3080 Ti Gaming OC 12G Graphics Card, 3X WINDFORCE Fans, 12GB 384-Bit GDDR6X,",2687,https://www.newegg.ca/p/1FT-000A-003J7?Description=3080&cm_re=3080-_-9SIB42GHCD1956-_-Product
,,
MSI Gaming GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card RTX 3080 GAMING Z TRIO 10G LHR,1998,https://www.newegg.ca/msi-3080-gaming-z-trio-10g-lhr/p/1FT-0009-00819?Description=3080&cm_re=3080-_-1FT-0009-00819-_-Product
,,
MSI Ventus GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 3080 Ti VENTUS 3X 12G,1799,https://www.newegg.ca/msi-geforce-rtx-3080-ti-rtx-3080-ti-ventus-3x-12g/p/N82E16814137656?Description=3080&cm_re=3080-_-14-137-656-_-Product
,,
ZOTAC Trinity OC White Edition LHR GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card ZT-A30800K-10PLHR,1363,https://www.newegg.ca/zotac-geforce-rtx-3080-zt-a30800k-10plhr1/p/N82E16814500535?Description=3080&cm_re=3080-_-14-500-535-_-Product
,,
GDDR6X Gigabyte GeForce RTX 3080 Ti GAMING OC 12G RTX 3080 Ti Gaming Graphics Card 19000MHz,3064,https://www.newegg.ca/p/1FT-000A-003N4?Description=3080&cm_re=3080-_-9SIB42GHD94860-_-Product
,,
GDDR6X MSI GeForce RTX 3080 VENTUS 3X 10G OC LHR Graphics Card RTX 3080 10GB 320bit PCI Express 4.0,1999,https://www.newegg.ca/p/1FT-0009-008G1?Description=3080&cm_re=3080-_-9SIB518HCJ0269-_-Product
,,
GDDR6X MSI GeForce RTX 3080 VENTUS 3X 10G OC LHR Graphics Card RTX 3080 10GB 320bit PCI Express 4.0,1999,https://www.newegg.ca/p/1FT-0009-008M3?Description=3080&cm_re=3080-_-9SIB518HCJ2709-_-Product
,,
GDDR6X Asus ROG STRIX RTX3080 O10G GAMING Graphics GeForce RTX 3080 Video Card RTX 3080 Graphics,2899,https://www.newegg.ca/p/1FT-000Y-006U5?Description=3080&cm_re=3080-_-9SIB517HD44728-_-Product
,,
GDDR6X Gigabyte AORUS GeForce RTX 3080 MASTER 10G LHR Graphics Card 320bit RTX 3080 Gaming Video,3128,https://www.newegg.ca/p/1FT-000A-003X6?Description=3080&cm_re=3080-_-9SIB42GHD96719-_-Product
,,
GDDR6X Gigabyte AORUS GeForce RTX 3080 MASTER 10G LHR Graphics Card 320bit RTX 3080 Gaming Video,3128,https://www.newegg.ca/p/1FT-000A-003X2?Description=3080&cm_re=3080-_-9SIB42GHD96723-_-Product
,,
MSI Ventus GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 VENTUS 3X 10G OC LHR,1639,https://www.newegg.ca/p/1FT-0009-006M5?Description=3080&cm_re=3080-_-1FT-0009-006M5-_-Product
,,
MSI Gaming Z Trio 10G LHR NVIDIA GeForce RTX 3080 10GB GDDR6X Graphics Card,1299,https://www.newegg.ca/p/1FT-0009-008E2?Description=3080&cm_re=3080-_-1FT-0009-008E2-_-Product
,,
GDDR6X MSI GeForce RTX 3080 SUPRIM X 10G LHR Graphics Card 19000MHz GDDR6X 10GB 320bit 7680×4320 RTX,2599,https://www.newegg.ca/p/1FT-0009-008K4?Description=3080&cm_re=3080-_-9SIB518HCJ2727-_-Product
,,
"EVGA GeForce RTX 3080 12GB XC3 BLACK GAMING Video Card, 12G-P5-4861-KL, 12GB GDDR6X, iCX3 Cooling, ARGB LED, LHR",1911,https://www.newegg.ca/evga-geforce-rtx-3080-12g-p5-4861-kl/p/N82E16814487559?Description=3080&cm_re=3080-_-9SIB277HSS2695-_-Product
,,
GDDR6X MSI GeForce RTX 3080 SUPRIM X 10G LHR Graphics Card GDDR6X 320bit PCI Express 4.0 16X RTX,2591,https://www.newegg.ca/p/1FT-0009-008G2?Description=3080&cm_re=3080-_-9SIB518HCJ0509-_-Product
,,
MSI Raphic Cards GeForce RTX 3080 GAMING Z TRIO 10G LHR 10GB GDDR6X Graphics Cards 320bit HDCP,2536,https://www.newegg.ca/p/1FT-0009-008G8?Description=3080&cm_re=3080-_-1FT-0009-008G8-_-Product
,,
GDDR6X Gigabyte GeForce RTX 3080 GAMING OC 10G LHR Graphics Card 320bit PCI Express 4.0 16X PC RTX,2419,https://www.newegg.ca/p/1FT-000A-003M6?Description=3080&cm_re=3080-_-9SIB42GHD94656-_-Product
,,
GDDR6X MSI GeForce RTX 3080 GAMING Z TRIO 10G LHR Graphics Card 10GB 320bit PCI Express 4.0 16X RTX,2219,https://www.newegg.ca/p/1FT-0009-008J5?Description=3080&cm_re=3080-_-1FT-0009-008J5-_-Product
,,
GDDR6X Gigabyte GeForce RTX 3080 Ti VISION OC 12G LHR Gaming Graphics Card RTX 3080Ti Video Card,3118,https://www.newegg.ca/p/1FT-000A-003V9?Description=3080&cm_re=3080-_-9SIB42GHD96747-_-Product
,,
MSI Raphic Cards GeForce RTX 3080 VENTUS 3X 10G OC LHR 10GB GDDR6X Graphics Cards 320bit HDCP,1888,https://www.newegg.ca/p/1FT-0009-008H1?Description=3080&cm_re=3080-_-9SIB518HCJ0696-_-Product
,,
"ASUS TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition Graphics Card (PCIe 4.0, 10GB GDDR6X, LHR, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-grade Certification, GPU Tweak II)",1449,https://www.newegg.ca/asus-tuf-rtx3080-o10g-v2-gaming/p/1FT-000Y-00688?Description=3080&cm_re=3080-_-9SIAPBWGUP6661-_-Product
,,
MSI GeForce RTX 3080 AERO S 10G LHR Graphics 1905 MHz DisplayPort x 3 RTX 3080 Graphics card rtx3080 video card GDDR6X,2289,https://www.newegg.ca/msi-geforce-rtx-3080/p/1FT-0009-00937?Description=3080&cm_re=3080-_-9SIAVH1HV34341-_-Product
,,
GIGABYTE Gaming OC GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080GAMING OC-10GD (rev. 2.0) (LHR),1299,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080gaming-oc-10gd/p/N82E16814932459R?Description=3080&cm_re=3080-_-14-932-459R-_-Product
,,
MSI Suprim GeForce RTX 3080 10GB GDDR6X Video Card RTX 3080 SUPRIM X 10G LHR,1924,https://www.newegg.ca/p/1FT-0009-006F7?Description=3080&cm_re=3080-_-1FT-0009-006F7-_-Product
,,
GIGABYTE Vision GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TVISION OC-12GD,2199,https://www.newegg.ca/p/1FT-000A-002A5?Description=3080&cm_re=3080-_-9SIAPBWFD56548-_-Product
,,
MSI Gaming GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card RTX 3080 GAMING Z TRIO 10G LHR,2541,https://www.newegg.ca/p/1FT-0009-008V8?Description=3080&cm_re=3080-_-9SIB9EBH016309-_-Product
,,
GIGABYTE AORUS GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TAORUS M-12GD,1999,https://www.newegg.ca/p/1FT-000A-00254?Description=3080&cm_re=3080-_-9SIAPBWFD56610-_-Product
,,
MSI Suprim GeForce RTX 3080 10GB GDDR6X Video Card RTX 3080 SUPRIM X 10G LHR,2058,https://www.newegg.ca/p/1FT-0009-006H1?Description=3080&cm_re=3080-_-1FT-0009-006H1-_-Product
,,
GIGABYTE Eagle GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080EAGLE-10GD (rev. 2.0) (LHR),1403,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080eagle-10gd/p/N82E16814932461?Description=3080&cm_re=3080-_-14-932-461-_-Product
,,
GIGABYTE AORUS GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TAORUS X-12GD,2092,https://www.newegg.ca/gigabyte-geforce-rtx-3080-ti-xtreme-12g/p/N82E16814932440?Description=3080&cm_re=3080-_-14-932-440-_-Product
,,
GIGABYTE AORUS GeForce RTX 3080 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080AORUS M-12GD,1799,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080aorus-m-12gd/p/N82E16814932505?Description=3080&cm_re=3080-_-14-932-505-_-Product
,,
GIGABYTE AORUS GeForce RTX 3080 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080AORUSX W-12GD,1999,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080aorusx-w-12gd/p/N82E16814932503?Description=3080&cm_re=3080-_-14-932-503-_-Product
,,
MSI Ventus GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card RTX 3080 Ti Ventus 3X 12G OC,1618,https://www.newegg.ca/p/1FT-0009-006C5?Description=3080&cm_re=3080-_-1FT-0009-006C5-_-Product
,,
ZOTAC Trinity OC GeForce RTX 3080 12GB GDDR6X PCI Express 4.0 ATX Video Card ZT-A30820J-10PLHR,1518,https://www.newegg.ca/zotac-geforce-rtx-3080-zt-a30820j-10plhr/p/N82E16814500526?Description=3080&cm_re=3080-_-14-500-526-_-Product
,,
MSI Gaming GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card RTX 3080 GAMING Z TRIO 10G,1832,https://www.newegg.ca/msi-geforce-rtx-3080-gaming-z-trio-10g/p/N82E16814137652?Description=3080&cm_re=3080-_-14-137-652-_-Product
,,
"GIGABYTE AORUS GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080AORUS X-10GD (rev. 2.0), LHR",2239,https://www.newegg.ca/p/1FT-000A-002M6?Description=3080&cm_re=3080-_-9SIAPBWFVU1086-_-Product
,,
MSI Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 Video Card RTX 3080 Ti Gaming X Trio 12G,1678,https://www.newegg.ca/p/1FT-0009-006C7?Description=3080&cm_re=3080-_-1FT-0009-006C7-_-Product
,,
